,OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
6975,83056,No Damage,2185.0,Minal,Street,South Lake Tahoe,96150.0,AEU,El Dorado,,2021-08-14 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,<30',122000.0,,2185 MINAL ST SOUTH LAKE TAHOE CA 96150,38.8483618165753,-120.023704533576
6976,42179,Destroyed (>50%),2321.0,Honey Run,Road,Unincorporated,,BTU,Butte,Chico,2018-11-08 00:00:00,,Mobile Home Single Wide,Single Residence,,Metal,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,,,504594.0,1973.0,2321  HONEY RUN RD   CHICO CA 95926,39.741122886354,-121.679066885549
6977,97644,No Damage,31006.0,Avenida Ramblas ,,Highland,92346.0,BDU,San Bernardino,,2024-09-05 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,0.0,0.0,"31006 AVENIDA RAMBLAS, HIGHLAND, CA 92346",34.1088369,-117.1269843
6978,43081,Destroyed (>50%),583.0,Lower Gulch ,Road,Concow/Yankee Hill,,BTU,Butte,Yankee Hill,2018-11-08 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,11-20,<30',126922.0,1989.0,583  LOWER GULCH RD   YANKEE HILL CA 95965,39.6805151278045,-121.517334323069
6979,86433,No Damage,714830.0,Vista,Lane,Janesville,96114.0,LMU,Lassen,,2021-07-13 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,154020.0,,714-830 VISTA LN JANESVILLE CA 96114,40.2549399353538,-120.469447149235
6980,3234,Destroyed (>50%),69.0,Gunderson ,Road,,0.0,BTU,Butte,,2020-09-09 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,180000.0,1958.0,"69 GUNDERSON RD, FEATHER FALLS CA 95966",39.5552667606364,-121.372161563251
6981,40347,Destroyed (>50%),208.0,Rivendell,Lane,Paradise Central Southwest B,,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,30-50',238369.0,1979.0,208  RIVENDELL LN   PARADISE CA 95969,39.7299918003959,-121.646675384525
6982,124756,No Damage,16776.0,Via La Costa,,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,Combination of Actions,Utility Misc Structure,Other Minor Structure,,Tile,No Eaves,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,1152792.0,1999.0,"16776 VIA LA COSTA, PACIFIC PALISADES, CA 90272",34.0776337,-118.5483337
6983,119882,Destroyed (>50%),13313.0,Via De Las Olas,,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,2000000.0,1952.0,"15313 VIA DE LAS OLAS, PACIFIC PALISADES, CA 90272",34.0359642,-118.5286052
6984,72499,Destroyed (>50%),5021.0,Warm Springs,Road,Unincorporated,0.0,LNU,Sonoma,Glenn Ellen,2017-10-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Single Pane, , , ,,,,378325.0,2000.0,5021 WARM SPRINGS RD,38.3676188487559,-122.530399125974
6985,23371,No Damage,233.0,Lake,Drive,,,CZU,Santa Cruz,,2020-08-16 00:00:00,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,344457.0,1975.0,233 LAKE DR BOULDER CREEK CA 95006,37.1529955624044,-122.163924796014
6986,103567,No Damage,839.0,Woodland ,Drive,Sierra Madre,91024.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,1.0,Wood,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,Wood,Combustible,Combustible,,,354464.0,1916.0,"839 WOODLAND DR, SIERRA MADRE, CA 91024",34.1752376,-118.0433274
6987,43454,Destroyed (>50%),1446.0,Gordan,Way,Paradise Central Southeast A,,BTU,Butte,Paradise ,2018-11-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Other,No Eaves,No Vents,Unknown,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,205454.0,2015.0,1446  GORDON WAY   PARADISE CA 95969,39.7609171491877,-121.591876913417
6988,81338,No Damage,8000.0,Canyon View,Drive,Somerset,95684.0,AEU,El Dorado,,2021-08-14 00:00:00,Combination of Actions,Single Family Residence Single Story,Single Residence,1.0,Asphalt,No Eaves,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,30-50',269011.0,,8000 CANYON VIEW DR SOMERSET CA 95684,38.6162221732854,-120.635583719463
6989,55234,No Damage,,,,Unincorporated,,BTU,Butte,,2018-11-08 00:00:00,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,50000.0,1960.0,13631 NIMSHEW RD MAGALIA CA 95954,39.8078902140596,-121.628911745059
6990,31460,Destroyed (>50%),8030.0,Skyway,Avenue,Paradise Northwest B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,<30',121469.0,1934.0,8030  SKYWAY     PARADISE CA 95969,39.7755379633491,-121.608402825339
6991,102905,Destroyed (>50%),3557.0,Hollyslope,Road,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Combustible,,,171814.0,1948.0,"3557 HOLLYSLOPE RD, ALTADENA, CA 91001",34.2057281,-118.1397253
6992,115533,Destroyed (>50%),949.0,Marcheta ,Street,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Masonry/Concrete,Combustible,Combustible,,,161749.0,1939.0,"949 MARCHETA ST, ALTADENA, CA 91001",34.1877483,-118.1302705
